X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF05362	779	490	569	437	552	769	Lon protease (S16) C-terminal proteolytic domain	GO:0004176,GO:0004252	GO:0006508	NA
PF02803	772	630	664	546	696	1057	Thiolase, C-terminal domain	GO:0016747	GO:0008152	NA
PF13180	771	453	742	434	603	794	PDZ domain	GO:0005515	NA	NA
PF01546	771	739	815	673	692	1737	Peptidase family M20/M25/M40	GO:0016787	GO:0008152	NA
PF00210	769	851	478	399	689	723	Ferritin-like domain	GO:0008199	GO:0006879	NA
PF00163	765	320	525	304	639	637	Ribosomal protein S4/S9 N-terminal domain	GO:0019843	NA	GO:0005622
PF00563	764	506	810	547	678	1434	EAL domain	NA	NA	NA
PF00211	760	670	797	608	670	1414	Adenylate and Guanylate cyclase catalytic domain	GO:0016849	GO:0009190,GO:0035556	NA
PF00366	760	278	579	258	516	782	Ribosomal protein S17	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF03725	760	300	521	218	547	481	3' exoribonuclease family, domain 2	NA	NA	NA
PF01041	756	471	738	468	564	1309	DegT/DnrJ/EryC1/StrS aminotransferase family	NA	NA	NA
PF00113	756	622	495	472	681	1387	Enolase, C-terminal TIM barrel domain	GO:0000287,GO:0004634	GO:0006096	GO:0000015
PF00889	753	331	556	270	534	620	Elongation factor TS	GO:0003746	GO:0006414	GO:0005622
PF00828	750	342	617	368	664	866	Ribosomal protein L18e/L15	NA	NA	NA
PF01293	749	814	511	748	872	1246	Phosphoenolpyruvate carboxykinase	GO:0004612,GO:0005524	GO:0006094	NA
PF02896	747	739	625	731	820	1286	PEP-utilising enzyme, TIM barrel domain	GO:0016772	GO:0016310	NA
PF01855	741	796	621	908	821	1691	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg	GO:0016491	GO:0055114	NA
PF03976	737	737	635	841	819	1119	Polyphosphate kinase 2 (PPK2)	NA	NA	NA
PF00549	735	397	501	296	593	695	CoA-ligase	GO:0003824	GO:0008152	NA
PF01479	734	403	579	403	727	699	S4 domain	GO:0003723	NA	NA
PF00284	726	340	506	415	300	264	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	GO:0046872	GO:0015979	GO:0009523,GO:0016021
PF12681	726	337	815	410	469	761	Glyoxalase-like domain	NA	NA	NA
PF00027	724	655	591	686	665	940	Cyclic nucleotide-binding domain	NA	NA	NA
PF00181	724	333	539	311	635	668	Ribosomal Proteins L2, RNA binding domain	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF01027	719	454	701	456	502	465	Inhibitor of apoptosis-promoting Bax1	NA	NA	NA
PF07676	713	476	742	438	519	1056	WD40-like Beta Propeller Repeat	NA	NA	NA
PF00463	711	560	422	492	654	663	Isocitrate lyase family	GO:0004451	GO:0019752	NA
PF00924	709	366	618	339	480	1039	Mechanosensitive ion channel	NA	GO:0055085	GO:0016020
PF00156	709	451	666	467	606	1066	Phosphoribosyl transferase domain	NA	GO:0009116	NA
PF02776	709	449	693	387	551	927	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	GO:0030976	NA	NA
PF07728	707	583	621	504	572	735	AAA domain (dynein-related subfamily)	GO:0005524,GO:0016887	NA	NA
PF13193	706	728	756	621	679	1547	AMP-binding enzyme C-terminal domain	NA	NA	NA
PF02515	701	516	751	451	548	1260	CoA-transferase family III	GO:0003824	NA	NA
PF13948	701	499	754	558	829	549	Domain of unknown function (DUF4215)	NA	NA	NA
PF07963	698	320	587	301	442	334	Prokaryotic N-terminal methylation motif	NA	NA	NA
PF01926	693	515	645	391	593	1226	50S ribosome-binding GTPase	GO:0005525	NA	NA
PF05198	688	303	523	271	457	469	Translation initiation factor IF-3, N-terminal domain	GO:0003743	GO:0006413	NA
PF00208	685	732	569	717	766	1393	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	GO:0016491	GO:0006520,GO:0055114	NA
PF07583	685	339	649	352	516	807	Protein of unknown function (DUF1549)	NA	NA	NA
PF07969	684	489	854	526	574	1336	Amidohydrolase family	NA	NA	NA
PF02353	682	224	500	270	264	442	Mycolic acid cyclopropane synthetase	NA	NA	NA
PF00263	682	424	743	466	568	629	Bacterial type II and III secretion system protein	NA	GO:0009306	NA
PF00589	677	696	745	488	533	1973	Phage integrase family	GO:0003677	GO:0006310,GO:0015074	NA
PF00587	673	391	613	371	606	973	tRNA synthetase class II core domain (G, H, P, S and T)	GO:0000166,GO:0004812,GO:0005524	GO:0006418	NA
PF13191	671	599	616	457	575	990	AAA ATPase domain	NA	NA	NA
PF00467	670	316	495	273	649	640	KOW motif	NA	NA	NA
PF07517	669	349	491	303	415	628	SecA DEAD-like domain	GO:0005524	GO:0017038	GO:0016020
PF00121	667	436	467	371	507	856	Triosephosphate isomerase	GO:0004807	GO:0008152	NA
PF01261	662	365	659	353	523	784	Xylose isomerase-like TIM barrel	NA	NA	NA
PF02861	662	530	492	436	439	479	Clp amino terminal domain, pathogenicity island component	NA	GO:0019538	NA
PF02798	662	256	209	199	248	344	Glutathione S-transferase, N-terminal domain	GO:0005515	NA	NA
PF02357	661	242	506	161	425	575	Transcription termination factor nusG	NA	GO:0006355	NA
PF02915	659	305	546	300	462	566	Rubrerythrin	GO:0016491,GO:0046872	GO:0055114	NA
PF00389	657	559	669	448	683	1154	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	GO:0016616,GO:0051287	GO:0008152,GO:0055114	NA
PF00355	657	433	600	514	560	766	Rieske [2Fe-2S] domain	GO:0016491,GO:0051537	GO:0055114	NA
PF00364	655	474	612	481	528	859	Biotin-requiring enzyme	NA	NA	NA
PF00482	655	326	670	417	517	712	Type II secretion system (T2SS), protein F	NA	NA	NA
PF00294	653	516	645	424	507	1054	pfkB family carbohydrate kinase	NA	NA	NA
PF07650	651	286	523	239	533	606	KH domain	GO:0003723	NA	NA
PF01345	649	360	789	388	521	546	Domain of unknown function DUF11	NA	NA	NA
PF00707	649	258	475	246	496	528	Translation initiation factor IF-3, C-terminal domain	NA	GO:0006413	NA
PF13519	643	567	590	439	554	1047	von Willebrand factor type A domain	NA	NA	NA
PF00521	642	399	553	366	536	883	DNA gyrase/topoisomerase IV, subunit A	GO:0003677,GO:0003918,GO:0005524	GO:0006265	NA
PF00478	642	388	525	375	507	753	IMP dehydrogenase / GMP reductase domain	GO:0003824	GO:0055114	NA
PF01642	641	453	548	448	613	1195	Methylmalonyl-CoA mutase	GO:0016866,GO:0031419	GO:0008152	NA
PF08548	640	563	684	462	500	745	Peptidase M10 serralysin C terminal	GO:0005509	NA	GO:0005615
PF01556	639	483	423	317	476	724	DnaJ C terminal domain	NA	NA	NA
PF01966	635	447	652	454	546	1138	HD domain	NA	NA	NA
PF07714	627	588	412	464	700	1046	Protein tyrosine kinase	GO:0004672	GO:0006468	NA
PF00089	627	563	404	709	850	618	Trypsin	GO:0004252	GO:0006508	NA
PF02239	626	1601	327	1271	1713	2556	Cytochrome D1 heme domain	NA	NA	NA
PF04983	623	179	520	181	389	445	RNA polymerase Rpb1, domain 3	GO:0003677,GO:0003899	GO:0006351	NA
PF00032	622	405	482	617	547	539	Cytochrome b(C-terminal)/b6/petD	GO:0009055,GO:0016491	NA	GO:0016020
PF08241	622	487	710	463	499	1184	Methyltransferase domain	GO:0008168	GO:0008152	NA
PF03401	620	315	575	323	391	387	Tripartite tricarboxylate transporter family receptor	NA	NA	GO:0030288
PF01632	618	215	422	235	347	421	Ribosomal protein L35	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00067	615	574	497	469	646	1040	Cytochrome P450	GO:0005506,GO:0016705,GO:0020037	GO:0055114	NA
PF03572	614	317	573	349	429	577	Peptidase family S41	GO:0008236	GO:0006508	NA
PF03118	614	191	512	162	404	631	Bacterial RNA polymerase, alpha chain C terminal domain	GO:0003677,GO:0003899	GO:0006351	NA
PF01494	613	362	496	370	413	939	FAD binding domain	GO:0071949	NA	NA
PF07726	609	315	595	309	450	654	ATPase family associated with various cellular activities (AAA)	GO:0005524,GO:0016887	NA	NA
PF02347	609	457	571	344	495	896	Glycine cleavage system P-protein	GO:0004375	GO:0006546,GO:0055114	NA
PF00801	605	463	710	479	665	698	PKD domain	NA	NA	NA
PF06723	604	285	558	334	446	593	MreB/Mbl protein	NA	GO:0000902	NA
PF00466	603	289	436	275	522	556	Ribosomal protein L10	NA	GO:0042254	GO:0005622
PF07587	602	334	575	313	462	780	Protein of unknown function (DUF1553)	NA	NA	NA
PF02310	599	511	559	419	608	937	B12 binding domain	GO:0031419,GO:0046872	NA	NA
PF07980	599	228	393	211	335	399	SusD family	NA	NA	NA
PF00175	597	373	361	395	463	664	Oxidoreductase NAD-binding domain	GO:0016491	GO:0055114	NA
PF16639	596	277	329	345	253	280	Apocytochrome F, N-terminal	NA	NA	NA
PF01476	596	303	554	377	460	556	LysM domain	NA	NA	NA
PF00225	595	725	438	539	756	718	Kinesin motor domain	GO:0003777,GO:0005524,GO:0008017	GO:0007018	NA
PF02910	594	576	420	360	631	976	Fumarate reductase flavoprotein C-term	GO:0016491	GO:0055114	NA
PF00198	593	363	508	356	490	711	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	GO:0016746	GO:0008152	NA
PF01645	593	313	473	272	468	795	Conserved region in glutamate synthase	GO:0015930,GO:0016638	GO:0006537,GO:0055114	NA
PF12695	589	505	650	419	523	1334	Alpha/beta hydrolase family	NA	NA	NA
PF02190	589	369	468	265	390	478	ATP-dependent protease La (LON) substrate-binding domain	GO:0004176	GO:0006508	NA
PF01568	589	816	599	812	805	1179	Molydopterin dinucleotide binding domain	GO:0016491,GO:0030151	GO:0055114	NA
PF08534	586	271	573	309	385	493	Redoxin	GO:0016491	NA	NA
PF03719	586	276	507	292	537	636	Ribosomal protein S5, C-terminal domain	GO:0003735	GO:0006412	GO:0005840
PF01551	583	285	511	331	404	708	Peptidase family M23	NA	NA	NA
PF00498	582	353	603	442	482	574	FHA domain	GO:0005515	NA	NA
PF00700	581	456	588	431	532	853	Bacterial flagellin C-terminal helical region	GO:0005198	GO:0071973	NA
PF13424	581	509	457	398	482	943	Tetratricopeptide repeat	NA	NA	NA
PF01131	580	246	493	237	356	578	DNA topoisomerase	GO:0003677,GO:0003916	GO:0006265	NA
PF01592	576	173	470	162	246	261	NifU-like N terminal domain	GO:0005506,GO:0051536	GO:0016226	NA
PF04539	576	249	519	293	415	385	Sigma-70 region 3	GO:0003677,GO:0003700,GO:0016987	GO:0006352,GO:0006355	NA
PF01425	573	461	666	419	468	1258	Amidase	NA	NA	NA
PF01746	573	248	416	190	434	563	tRNA (Guanine-1)-methyltransferase	NA	NA	NA
PF00543	572	190	694	256	342	375	Nitrogen regulatory protein P-II	GO:0030234	GO:0006808	NA
PF00920	571	332	524	331	432	840	Dehydratase family	GO:0003824	GO:0008152	NA
PF00999	571	475	556	429	569	1277	Sodium/hydrogen exchanger family	GO:0015299	GO:0006812,GO:0055085	GO:0016021
PF02507	571	174	467	427	324	217	Photosystem I reaction centre subunit III	NA	GO:0015979	GO:0009522,GO:0009538
PF03372	566	522	525	413	564	1283	Endonuclease/Exonuclease/phosphatase family	NA	NA	NA
PF00406	565	493	521	364	513	897	Adenylate kinase	NA	NA	NA
PF00464	563	390	493	291	487	729	Serine hydroxymethyltransferase	GO:0016740	NA	NA
PF02355	559	236	463	209	380	570	Protein export membrane protein	NA	NA	NA
PF03946	558	238	361	206	455	422	Ribosomal protein L11, N-terminal domain	NA	NA	NA
PF00343	555	461	441	334	480	983	Carbohydrate phosphorylase	GO:0008184	GO:0005975	NA
PF01558	554	635	484	615	640	1288	Pyruvate ferredoxin/flavodoxin oxidoreductase	GO:0016903	GO:0055114	NA
PF00453	554	208	421	241	395	496	Ribosomal protein L20	GO:0003735,GO:0019843	GO:0006412	GO:0005622,GO:0005840
PF04561	553	150	474	139	328	326	RNA polymerase Rpb2, domain 2	GO:0003677,GO:0003899	GO:0006351	NA
PF00206	552	394	480	363	477	1015	Lyase	NA	NA	NA
PF00293	552	397	559	404	443	1166	NUDIX domain	GO:0016787	NA	NA
PF00831	551	260	386	192	421	526	Ribosomal L29 protein	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00176	550	420	374	335	532	715	SNF2 family N-terminal domain	GO:0005524	NA	NA
PF00144	548	586	628	496	508	1467	Beta-lactamase	NA	NA	NA
PF00179	546	610	317	413	512	678	Ubiquitin-conjugating enzyme	NA	NA	NA
PF04069	545	145	373	201	246	256	Substrate binding domain of ABC-type glycine betaine transport system	GO:0005215	GO:0006810	NA
PF16184	540	386	615	404	514	686	Cadherin-like	NA	NA	NA
PF00326	539	377	568	368	437	950	Prolyl oligopeptidase family	GO:0008236	GO:0006508	NA
PF04984	539	380	583	421	466	562	Phage tail sheath protein	NA	NA	NA
PF01609	538	530	556	405	431	1520	Transposase DDE domain	GO:0003677,GO:0004803	GO:0006313	NA
PF14495	537	191	351	348	198	242	Cytochrome c-550 domain	NA	NA	NA
PF00154	537	262	498	324	387	489	recA bacterial DNA recombination protein	GO:0003697,GO:0005524	GO:0006281,GO:0009432	NA
PF01196	537	169	493	182	380	504	Ribosomal protein L17	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF03600	536	412	524	352	419	999	Citrate transporter	NA	GO:0055085	GO:0016021
PF02866	535	467	387	372	568	851	lactate/malate dehydrogenase, alpha/beta C-terminal domain	GO:0016616	GO:0055114	NA
PF00056	535	433	381	363	529	749	lactate/malate dehydrogenase, NAD binding domain	GO:0016491	GO:0055114	NA
PF01058	533	501	439	502	524	752	NADH ubiquinone oxidoreductase, 20 Kd subunit	GO:0051536	GO:0055114	NA
PF00998	533	396	389	315	543	391	Viral RNA dependent RNA polymerase	GO:0003723,GO:0003968	GO:0039694	NA
PF00365	532	469	461	404	453	1013	Phosphofructokinase	GO:0003872	GO:0006096	NA
PF13522	529	300	392	245	368	501	Glutamine amidotransferase domain	NA	NA	NA
PF00670	528	301	395	305	391	454	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	NA	NA	NA
PF16576	528	349	534	414	404	924	Barrel-sandwich domain of CusB or HlyD membrane-fusion	NA	NA	NA
PF00436	528	277	478	272	352	532	Single-strand binding protein family	GO:0003697	NA	NA
PF04964	526	238	563	499	494	357	Flp/Fap pilin component	NA	NA	NA
PF01245	526	223	416	234	376	425	Ribosomal protein L19	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00333	522	228	463	252	418	531	Ribosomal protein S5, N-terminal domain	GO:0003723,GO:0003735	GO:0006412	GO:0005840
PF01012	517	363	409	307	507	672	Electron transfer flavoprotein domain	NA	NA	NA
PF04909	516	335	600	374	362	726	Amidohydrolase	GO:0016787	NA	NA
PF01571	516	395	486	317	556	904	Aminomethyltransferase folate-binding domain	NA	NA	NA
PF00128	514	433	491	337	471	1153	Alpha amylase, catalytic domain	GO:0003824	GO:0005975	NA
PF10604	514	140	345	256	398	210	Polyketide cyclase / dehydrase and lipid transport	NA	NA	NA
PF00507	512	279	398	349	432	357	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	GO:0008137	GO:0055114	NA
PF00262	511	526	239	343	496	564	Calreticulin family	GO:0005509,GO:0051082	GO:0006457	GO:0005783
PF00623	511	177	460	158	373	386	RNA polymerase Rpb1, domain 2	GO:0003677,GO:0003899	GO:0006351	NA
PF00140	511	306	430	304	406	329	Sigma-70 factor, region 1.2	GO:0003677,GO:0003700,GO:0016987	GO:0006352,GO:0006355	NA
PF00664	510	444	496	394	494	941	ABC transporter transmembrane region	GO:0005524,GO:0042626	GO:0006810,GO:0055085	GO:0016021
PF02801	510	332	496	279	401	777	Beta-ketoacyl synthase, C-terminal domain	NA	NA	NA
PF16211	508	724	465	492	615	515	C-terminus of histone H2A	NA	NA	NA
PF02233	506	352	467	348	486	720	NAD(P) transhydrogenase beta subunit	GO:0008750,GO:0050661	GO:0055114	GO:0016021
PF05943	505	296	518	312	388	329	Type VI secretion protein, EvpB/VC_A0108, tail sheath	NA	NA	NA
PF13407	503	300	526	296	421	829	Periplasmic binding protein domain	NA	NA	NA
PF01314	502	464	498	406	480	865	Aldehyde ferredoxin oxidoreductase, domains 2 & 3	GO:0009055,GO:0016491,GO:0016625,GO:0051536	GO:0055114	NA
PF00275	502	290	396	235	625	721	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	GO:0016765	NA	NA
PF00274	501	640	315	476	637	1182	Fructose-bisphosphate aldolase class-I	GO:0004332	GO:0006096	NA
PF01000	501	173	509	170	344	482	RNA polymerase Rpb3/RpoA insert domain	GO:0003899,GO:0046983	GO:0006351	NA
PF01165	500	187	397	232	335	383	Ribosomal protein S21	GO:0003735	GO:0006412	GO:0005840
PF01262	499	388	421	343	548	810	Alanine dehydrogenase/PNT, C-terminal domain	NA	NA	NA
PF12704	499	411	451	328	357	1083	MacB-like periplasmic core domain	NA	NA	NA
PF08245	499	339	503	306	378	944	Mur ligase middle domain	GO:0005524	GO:0009058	NA
PF01016	498	162	339	210	332	396	Ribosomal L27 protein	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF01248	498	420	341	392	761	441	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	NA	NA	NA
PF01250	497	171	292	166	278	345	Ribosomal protein S6	GO:0003735,GO:0019843	GO:0006412	GO:0005840
PF13426	496	357	445	321	363	719	PAS domain	NA	NA	NA
PF00709	494	257	409	280	391	639	Adenylosuccinate synthetase	GO:0004019,GO:0005525	GO:0006164	NA
PF00698	492	288	507	294	408	700	Acyl transferase domain	NA	NA	NA
PF12228	492	358	505	294	359	822	Protein of unknown function (DUF3604)	NA	NA	NA
PF05368	491	227	425	301	255	356	NmrA-like family	NA	NA	NA
PF02777	489	135	500	245	282	208	Iron/manganese superoxide dismutases, C-terminal domain	GO:0004784,GO:0046872	GO:0006801,GO:0055114	NA
PF01411	487	278	378	240	359	693	tRNA synthetases class II (A)	GO:0000166,GO:0004813,GO:0005524	GO:0006419	NA
PF00749	486	334	456	240	341	833	tRNA synthetases class I (E and Q), catalytic domain	GO:0005524,GO:0016876	GO:0043039	NA
PF02599	485	214	398	279	332	309	Global regulator protein family	GO:0003723	GO:0006109,GO:0006402	NA
PF01950	484	135	195	203	233	97	Fructose-1,6-bisphosphatase	NA	NA	NA
PF02772	484	388	389	330	417	523	S-adenosylmethionine synthetase, central domain	GO:0004478	GO:0006556	NA
PF02812	483	430	375	493	518	865	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	GO:0016491	GO:0006520,GO:0055114	NA
PF00795	482	365	521	345	411	949	Carbon-nitrogen hydrolase	GO:0016810	GO:0006807	NA
PF06439	482	274	551	247	408	601	Domain of Unknown Function (DUF1080)	NA	NA	NA
PF08298	481	295	473	286	316	419	PrkA AAA domain	NA	NA	NA
PF03842	481	108	392	490	464	240	Silicon transporter	NA	GO:0015708	NA
PF16320	479	137	341	137	323	372	Ribosomal protein L7/L12 dimerisation domain	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF02852	478	277	414	253	350	603	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	NA	GO:0045454,GO:0055114	NA
PF08442	477	291	326	250	432	528	ATP-grasp domain	NA	NA	NA
PF00348	477	269	446	273	338	551	Polyprenyl synthetase	NA	GO:0008299	NA
PF00041	475	524	264	413	3157	727	Fibronectin type III domain	GO:0005515	NA	NA
PF13847	472	409	446	325	445	856	Methyltransferase domain	NA	NA	NA
PF01063	471	320	436	298	403	678	Amino-transferase class IV	GO:0003824	GO:0008152	NA
PF00443	471	532	294	345	494	556	Ubiquitin carboxyl-terminal hydrolase	GO:0036459	GO:0016579	NA
PF00281	470	196	418	189	373	505	Ribosomal protein L5	NA	NA	NA
PF00037	469	357	440	370	521	722	4Fe-4S binding domain	NA	NA	NA
PF02737	467	391	400	353	480	779	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	GO:0003857,GO:0016491	GO:0006631,GO:0055114	NA
PF01268	467	460	352	288	485	800	Formate--tetrahydrofolate ligase	GO:0004329,GO:0005524	GO:0009396	NA
PF01176	466	214	375	192	327	495	Translation initiation factor 1A / IF-1	GO:0003723,GO:0003743	GO:0006413	NA
PF01435	465	324	432	273	332	684	Peptidase family M48	GO:0004222	GO:0006508	NA
PF03129	464	234	347	166	300	473	Anticodon binding domain	NA	NA	NA
PF00899	463	429	409	322	425	683	ThiF family	GO:0008641	NA	NA
PF07679	459	560	155	404	3052	745	Immunoglobulin I-set domain	NA	NA	NA
PF04264	455	139	371	141	185	190	YceI-like domain	NA	NA	NA
PF00675	453	307	426	262	406	594	Insulinase (Peptidase family M16)	NA	NA	NA
PF00486	453	276	460	275	327	716	Transcriptional regulatory protein, C terminal	GO:0003677	GO:0000160,GO:0006355	NA
PF00793	450	253	397	261	361	641	DAHP synthetase I family	NA	GO:0009058	NA
PF01578	449	190	413	295	306	488	Cytochrome C assembly protein	GO:0020037	GO:0017004	NA
PF00448	449	251	430	255	326	619	SRP54-type protein, GTPase domain	GO:0005525	GO:0006614	NA
PF00903	448	446	404	374	444	696	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	NA	NA	NA
PF03916	446	368	425	457	529	842	Polysulphide reductase, NrfD	NA	NA	NA
PF07639	445	157	449	221	397	164	YTV	NA	NA	NA
PF00438	444	331	371	271	406	450	S-adenosylmethionine synthetase, N-terminal domain	GO:0004478	GO:0006556	NA
PF01751	441	256	405	216	318	507	Toprim domain	NA	NA	NA
PF01625	440	206	436	238	238	387	Peptide methionine sulfoxide reductase	GO:0008113	GO:0055114	NA
PF02359	439	338	115	153	331	241	Cell division protein 48 (CDC48), N-terminal domain	NA	NA	NA
PF13833	439	498	302	393	568	617	EF-hand domain pair	GO:0005509	NA	NA
PF02321	439	364	433	307	358	752	Outer membrane efflux protein	GO:0005215	GO:0006810	NA
PF13672	439	265	441	284	309	453	Protein phosphatase 2C	NA	NA	NA
PF02773	439	303	319	286	346	463	S-adenosylmethionine synthetase, C-terminal domain	GO:0004478	GO:0006556	NA
PF01602	437	434	274	352	454	381	Adaptin N terminal region	NA	GO:0006886,GO:0016192	GO:0030117
PF01025	437	227	252	159	263	296	GrpE	GO:0000774,GO:0042803,GO:0051087	GO:0006457	NA
PF02574	437	467	286	451	318	673	Homocysteine S-methyltransferase	NA	NA	NA
PF12706	436	364	479	341	381	854	Beta-lactamase superfamily domain	NA	NA	NA
PF00374	436	721	262	800	567	1110	Nickel-dependent hydrogenase	GO:0016151	NA	NA
PF00471	436	126	262	164	247	253	Ribosomal protein L33	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00886	436	167	325	169	310	352	Ribosomal protein S16	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00905	436	336	483	291	341	935	Penicillin binding protein transpeptidase domain	GO:0008658	NA	NA
PF04560	434	118	397	116	262	325	RNA polymerase Rpb2, domain 7	GO:0003677,GO:0003899	GO:0006351	NA
PF03989	433	249	377	206	333	510	DNA gyrase C-terminal domain, beta-propeller	GO:0003677,GO:0003916,GO:0005524	GO:0006265	GO:0005694
PF00334	433	311	285	233	373	422	Nucleoside diphosphate kinase	GO:0004550	GO:0006165,GO:0006183,GO:0006228,GO:0006241	NA
PF02754	432	466	375	336	432	821	Cysteine-rich domain	NA	NA	NA
PF00701	432	265	466	314	363	646	Dihydrodipicolinate synthetase family	GO:0016829	GO:0008152	NA
PF02668	432	322	490	320	359	533	Taurine catabolism dioxygenase TauD, TfdA family	GO:0016491	GO:0055114	NA
PF00830	431	198	271	170	282	231	Ribosomal L28 family	GO:0003735	NA	NA
PF05000	431	129	359	145	290	333	RNA polymerase Rpb1, domain 4	GO:0003677,GO:0003899	GO:0006351	NA
